,user,correct,mark,topic,notes,explanation,reference,conclusion,trick
25,AB,AB,O,pricing,spot instance,,,,
26,AD,BD,X,calculator,TCO calculator - compares bewteen on-premises infrastructure and AWS. Network costs and IT labour costs contribute to the overall costs.,,,TCO is a cost estimate for AWS migration scenarios,
27,A,B,X,AWS service,"CloudFormation, (NOT CodeDeploy, OpsWorks, CodePipeline)","Provision Infrastructure As Code - AWS CloudFormation lets you model, provision, and manage AWS and third-party resources by treating infrastructure as code. Extend and manage your infrastructure to include cloud resources published in the CloudFormation Registry, the developer community, and your library.",https://aws.amazon.com/cloudformation/,,
28,CD,CD,O,account,account security,,,,
29,B,B,O,account,MFA for account security ,,,,
30,C,C,O,shared responsibility,the customer is responsible for IAM policies,,,,
31,A,D,X,identity,"IAM Groups, Users, Roles vs. NOT IAM identity - Policies",,,,
32,AB,AB,O,benefit,"reduced time to market, no guesswork on capacity requirements",,,,
33,A,C,X,identity,"SSH key (NOT username/password, API key, KMS key (Key Management Service - Easily create and control the keys used to encrypt or digitally sign your data))",,,,
34,A,B,X,support plan,minimum AWS support plan for ¡¦,,,,
35,B,B,O,AWS service,"CloudTrail monitors and retains AWS account activity related to actions across the AWS infrastructure / CloudFront, Athena","Athena - Serverless Interactive Query Service (Start querying data instantly. Get results in seconds. Pay only for the queries you run.) (Amazon Athena is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL. Athena is serverless, so there is no infrastructure to manage, and you pay only for the queries that you run.)",,,minium
36,A,AD,X,AWS service,which of the following services can be used to automate software deployments to your AWS compute services and your on-premises servers? - CodeDeploy and OpsWorks,"AWS OpsWorks is a configuration management service that provides managed instances of Chef and Puppet. Chef and Puppet are automation platforms that allow you to use code to automate the configurations of your servers. OpsWorks lets you use Chef and Puppet to automate how servers are configured, deployed, and managed across your Amazon EC2 instances or on-premises compute environments. OpsWorks has three offerings, AWS Opsworks for Chef Automate, AWS OpsWorks for Puppet Enterprise, and AWS OpsWorks Stacks.  // AWS CodeDeploy is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Fargate, AWS Lambda, and your on-premises servers. AWS CodeDeploy makes it easier for you to rapidly release new features, helps you avoid downtime during application deployment, and handles the complexity of updating your applications. You can use AWS CodeDeploy to automate software deployments, eliminating the need for error-prone manual operations. The service scales to match your deployment needs. https://aws.amazon.com/codedeploy/  /// //// AWS CodeCommit is a secure, highly scalable, managed source control service that hosts private Git repositories. It makes it easy for teams to securely collaborate on code with contributions encrypted in transit and at rest. CodeCommit eliminates the need for you to manage your own source control system or worry about scaling its infrastructure. You can use CodeCommit to store anything from code to binaries. It supports the standard functionality of Git, so it works seamlessly with your existing Git-based tools.",https://aws.amazon.com/opsworks/,,
37,BD,BD,O,benefit,financial benefits (reducd TCO and reduced OPEX),,,,
38,D,D,O,AWS service,S3 can host a static website,,,,
39,B,B,O,calculator,"Simple Monthly Calculator ""estimates"" the expected future usage",,,,
40,C,C,O,availability,high availability - withstand the failure of an individual or multiple components,,,,
41,C,C,O,AWS service,ELB - automatic scaling to make the applications fault tolerant,"EMR, WAF (Web Application FireWall)  Amazon EMR is a cloud big data platform for running large-scale distributed data processing jobs, interactive SQL queries, and machine learning (ML) applications using open-source analytics frameworks such as Apache Spark, Apache Hive, and Presto.",,,
42,BC,BC,O,reliability,"remove single points of failure, implement loose coupling",,,,
43,C,C,O,AWS service,hybrid cloud architecture,,,,
44,A,B,X,AWS service,"Config assesses, audits, and evaluates the configurations of the user AWS resources. (NOT Inspector, GuardDuty, CloudWatch) (Amazon Inspector: Amazon Inspector is an automated vulnerability management service that continually scans AWS workloads for software vulnerabilities and unintended network exposure.) (GuardDuty: Amazon GuardDuty is a threat detection service that continuously monitors your AWS accounts and workloads for malicious activity and delivers detailed security findings for visibility and remediation.) (CloudWatch: Amazon CloudWatch is a monitoring and observability service built for DevOps engineers, developers, site reliability engineers (SREs), IT managers, and product owners. CloudWatch provides you with data and actionable insights to monitor your applications, respond to system-wide performance changes, and optimize resource utilization. CloudWatch collects monitoring and operational data in the form of logs, metrics, and events. You get a unified view of operational health and gain complete visibility of your AWS resources, applications, and services running on AWS and on-premises. You can use CloudWatch to detect anomalous behavior in your environments, set alarms, visualize logs and metrics side by side, take automated actions, troubleshoot issues, and discover insights to keep your applications running smoothly.)",,https://medium.com/aws-architech/use-case-aws-inspector-vs-guardduty-3662bf80767a,,
45,A,A,O,AWS service,"Budgets Businesses and organizations need to plan and set expectations around cloud costs. However, the cloud agility requires you to adapt your forecasting processes and tools to match the dynamic nature of your usage. Set up custom budgets and stay informed of how your cost and usage progress and respond quickly when cost or usage exceeds threshold. AWS Budgets allows you to set custom budgets to track your cost and usage from the simplest to the most complex use cases. With AWS Budgets, you can choose to be alerted by email or SNS notification when actual or forecasted cost and usage exceed your budget threshold, or when your actual RI and Savings Plans' utilization or coverage drops below your desired threshold. With AWS Budget Actions, you can also configure specific actions to respond to cost and usage status in your accounts, so that if your cost or usage exceeds or is forecasted to exceed your threshold, actions can be executed automatically or with your approval to reduce unintentional over-spending.  AWS Budgets integrates with multiple other AWS services, such as AWS Cost Explorer, so you can easily view and analyze your cost and usage drivers, AWS Chatbot, so you can receive Budget alerts in your designated Slack channel or Amazon Chime room, and AWS Service Catalog, so you can track cost on your approved AWS portfolios and products.",,https://aws.amazon.com/aws-cost-management/aws-budgets/,,
46,A,B,X,pricing,EC2 reserved instances: non-interruptible aaplication for 3 years,,,,
47,A,A,O,architecture,architectural best practices: deploy into multiple availability zones,,,,
48,BD,BD,O,account,MFA for account security ,,,,
49,D,A,X,AWS service,"Data Transfer OUT from Amazon S3 to internet is NOT an attribute to S3 costs (YES attributes are: storage class, requests and data retrievals and number of S3 buckets)",,,,
50,B,B,O,architecture,vertical scaling,,,,
51,A,A,O,support plan,for enterprise,,,,
52,A,D,X,AWS service,"(Snowmobile: AWS Snowball, a part of the AWS Snow Family, is an edge computing, data migration, and edge storage device that comes in two options. Snowball Edge Storage Optimized devices provide both block storage and Amazon S3-compatible object storage, and 40 vCPUs. They are well suited for local storage and large scale-data transfer. Snowball Edge Compute Optimized devices provide 52 vCPUs, block and object storage, and an optional GPU for use cases like advanced machine learning and full motion video analysis in disconnected environments. You can use these devices for data collection, machine learning and processing, and storage in environments with intermittent connectivity (like manufacturing, industrial, and transportation) or in extremely remote locations (like military or maritime operations) before shipping them back to AWS. These devices may also be rack mounted and clustered together to build larger temporary installations.) (NOT Snowball: AWS Snowmobile is an Exabyte-scale data transfer service used to move extremely large amounts of data to AWS. You can transfer up to 100PB per Snowmobile, a 45-foot long ruggedized shipping container, pulled by a semi-trailer truck. ... Transferring data with Snowmobile is more secure, fast and cost effective.) (Storage Gateway: AWS Storage Gateway is a set of hybrid cloud storage services that provide on-premises access to virtually unlimited cloud storage.) ",,,,
53,A,D,X,calculator,"Trusted Advisor: AWS Trusted Advisors provides recommendations that help you follow AWS best practices. Trusted Advisor evaluates your account by using checks. These checks identify ways to optimize your AWS infrastructure, improve security and performance, reduce costs, and monitor service quotas. You can then follow the check recommendations to optimize your services and resources.",,https://aws.amazon.com/premiumsupport/technology/trusted-advisor/,,
54,B,B,O,architecture,CodeDeploy?,,,,
55,AB,BD,X,identity,security groups. Network ACLs are stateless. Any changes applied to an incoming rule will not be applied to the outgoing rule. Netwrok ACLs support allow and deny rules.,,,,
56,A,A,O,pricing,,,,,
57,C,C,O,AWS service,"The AWS Well-Architected Tool is designed to help you review the state of your applications and workloads, and it provides a central place for architectural best practices and guidance. The AWS Well-Architected Tool is based on the AWS Well-Architected Framework, which was developed to help cloud architects build secure, high-performing, resilient, and efficient application infrastructures. ",,https://aws.amazon.com/well-architected-tool/,,
58,C,C,O,shared responsibility,Patch Management is the process of managing a network of computers by regularly performing patch deployment to keep computers up to date. ,,,,
59,D,D,O,account,,,,,
60,BD,BD,O,AWS service,spot instance,,,,
61,A,C,X,AWS service,Inspetor assesses applications to improve security and compliance,,,,
62,C,C,O,architecture,,,,,
63,B,B,O,AWS service,Lambda,,,,
64,D,D,O,support plan,response time less than 20 minutes for critical issues ,,,,
65,D,D,O,architecture,learn from all operational failures,,,,
